#;#;#;#;#;#;#;#;#;#;#;#;#;#;;;;;;;x;
frankenstein;Mary Shelley's Frankenstein;;;;;;;x;
frankenstein_desc;Frankenstein was a novel published by Mary Shelley in 1818. It was a fusion of the gothic novel and the Romantic Movement and considered one of the earliest examples of science fiction. It served as a warning against the expansion of modern man in the Industrial Revolution and was loosely based on Giovanni Aldini’s electrical experiments on dead and (sometimes) living animals.;;;;;;;x;
ZOM;Zombieland;;;;;;;;x;
ZOM_ADJ;Zombie;;;;;;;;x;
zombie_rebels_army;Zombie Horde;;;;;;;;x;
zombie_rebels_desc;Zombies are reanimated corpses. The brain retains base facilities, namely motor function. In its nearly mindless state, it has no grasp of emotion, personality, or sensation. However, in rare cases, some zombies reflexively perform activities from their past lives. Their rotting bodies operate on a much lower level than a normal human. Circulatory, respiratory, and digestive systems are unaffected by reanimation. Labored breathing, choking, and moaning are therefore reflexive as no oxygen is carried through the blood. Furthermore, the nervous system functions primarily within the brain and sensory reception is minimal at best. The undead are incapable of fatigue and endlessly pursue their victims. Subsequently, a zombie may chase its victim even if it’s missing limbs. Therefore, the only way to kill a zombie is by destroying its brain. The only observable action a zombie takes part in is hunting and eating living organisms, especially humans. Approach with extreme caution.;;;;;;;;x;
zombie_rebels_name;Zombies;;;;;;;;x;
zombie_rebels_title;Zombie;;;;;;;;x;
state_of_emergency_proletarian_dictatorship;State of Emergency;;;;;;;;x;
state_of_emergency_proletarian_dictatorship_title;Declare a State of Emergency;;;;;;;;x;
state_of_emergency_proletarian_dictatorship_desc;Traditionally, a state of emergency is enacted in the event of a natural or manmade disaster. It is exercised to suspend some of the normal functions of the executive, legislative, and judicial powers, alert citizens to change their normal behaviors, or order government agencies to implement emergency preparedness plans. It can also be used as a rationale for suspending rights and freedoms and sometimes overruling constitutional law. By declaring a state of emergency, you will suspend all government elections and appoint a ruling party of your choice.;;;;;;;;x;
state_of_emergency_presidential_dictatorship;State of Emergency;;;;;;;;x;
state_of_emergency_presidential_dictatorship_title;Declare a State of Emergency;;;;;;;;x;
state_of_emergency_presidential_dictatorship_desc;Traditionally, a state of emergency is enacted in the event of a natural or manmade disaster. It is exercised to suspend some of the normal functions of the executive, legislative, and judicial powers, alert citizens to change their normal behaviors, or order government agencies to implement emergency preparedness plans. It can also be used as a rationale for suspending rights and freedoms and sometimes overruling constitutional law. By declaring a state of emergency, you will suspend all government elections and appoint a ruling party of your choice.;;;;;;;;x;
state_of_emergency_bourgeois_dictatorship;State of Emergency;;;;;;;;x;
state_of_emergency_bourgeois_dictatorship_title;Declare a State of Emergency;;;;;;;;x;
state_of_emergency_bourgeois_dictatorship_desc;Traditionally, a state of emergency is enacted in the event of a natural or manmade disaster. It is exercised to suspend some of the normal functions of the executive, legislative, and judicial powers, alert citizens to change their normal behaviors, or order government agencies to implement emergency preparedness plans. It can also be used as a rationale for suspending rights and freedoms and sometimes overruling constitutional law. By declaring a state of emergency, you will suspend all government elections and appoint a ruling party of your choice.;;;;;;;;x;
state_of_emergency_fascist_dictatorship;State of Emergency;;;;;;;;x;
state_of_emergency_fascist_dictatorship_title;Declare a State of Emergency;;;;;;;;x;
state_of_emergency_fascist_dictatorship_desc;Traditionally, a state of emergency is enacted in the event of a natural or manmade disaster. It is exercised to suspend some of the normal functions of the executive, legislative, and judicial powers, alert citizens to change their normal behaviors, or order government agencies to implement emergency preparedness plans. It can also be used as a rationale for suspending rights and freedoms and sometimes overruling constitutional law. By declaring a state of emergency, you will suspend all government elections and appoint a ruling party of your choice.;;;;;;;;x;
state_of_emergency_absolute_monarchy;State of Emergency;;;;;;;;x;
state_of_emergency_absolute_monarchy_title;Declare a State of Emergency;;;;;;;;x;
